,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Product Type By Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Cards for AAA - 8001 as of 12/6/2021 3:23 PM ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Market Value:,"395,898.24",Accrued Interest*:,0.04,Total Cost:,"230,912.81",Adjusted Cost:,"230,912.81",Total Unrealized Gain/Loss ($):,"158,054.89",Total Unrealized Gain/Loss (%):,68.45,Est. Annual Income:,"6,072.76",,,,,,,,,,,,,,,,,,,,,
Stocks / Options,GLADSTONE COMMERCIAL CORP,No,GOOD,376536108,22.900,12/06/2021,724.000,"16,579.60",1.82,296.84,"10,368.07","10,368.07",59.91,"6,211.53",-,-,1.50,6.68,-,4.19,-,-,"1,088.00",-,-,-,1.82,0.41,"16,282.76",22.49,12/03/2021,-,-,12/22/2021
Stocks / Options,HILLROM HOLDINGS,No,HRC,431475102,155.730,12/06/2021,92.000,"14,327.16",0.03,4.60,"8,888.88","8,888.88",61.18,"5,438.28",-,-,0.96,0.61,-,3.62,-,-,88.00,-,-,-,0.03,0.05,"14,322.56",155.68,12/03/2021,-,-,12/14/2021
Stocks / Options,HOLOGIC INC,No,HOLX,436440101,74.430,12/06/2021,190.000,"14,141.70",0.66,93.10,"7,657.63","7,657.63",84.67,"6,484.07",-,-,0.00,0.00,-,3.57,-,-,-,-,-,-,0.66,0.49,"14,048.60",73.94,12/03/2021,-,-,-
Stocks / Options,INTERCONTINENTAL EXCHANGE,No,ICE,45866F104,130.620,12/06/2021,100.000,"13,062.00",0.33,43.00,"5,324.21","5,324.21",145.33,"7,737.79",-,-,1.32,1.01,-,3.30,-,-,132.00,-,-,-,0.33,0.43,"13,019.00",130.19,12/03/2021,-,-,12/16/2021
Stocks / Options,INTERDIGITAL INC,No,IDCC,45867G101,69.150,12/06/2021,75.000,"5,186.25",2.40,121.50,"5,148.52","5,148.52",0.73,37.73,-,-,1.40,2.07,-,1.31,-,-,105.00,-,-,-,2.40,1.62,"5,064.75",67.53,12/03/2021,-,-,10/12/2021
Stocks / Options,JOHNSON & JOHNSON,No,JNJ,478160104,162.720,12/06/2021,71.000,"11,553.12",2.10,237.14,"5,231.78","5,231.78",120.83,"6,321.34",-,-,4.24,2.66,-,2.92,-,-,301.00,-,-,-,2.10,3.34,"11,315.98",159.38,12/03/2021,-,-,11/22/2021
Stocks / Options,JUNIPER NETWORKS,No,JNPR,48203R104,31.485,12/06/2021,230.000,"7,241.55",0.69,49.45,"5,925.60","5,925.60",22.21,"1,315.95",-,-,0.80,2.55,-,1.83,-,-,184.00,-,-,-,0.69,0.22,"7,192.10",31.27,12/03/2021,-,-,11/30/2021
Stocks / Options,LAZARD CLA A COM STK,No,LAZ,G54050102,44.150,12/06/2021,192.000,"8,476.80",2.41,199.68,"6,964.10","6,964.10",21.72,"1,512.70",-,-,1.88,4.36,-,2.14,-,-,361.00,-,-,-,2.41,1.04,"8,277.12",43.11,12/03/2021,-,-,11/05/2021
Stocks / Options,MASTEC INC,No,MTZ,576323109,92.150,12/06/2021,140.000,"12,901.00",3.48,434.00,"7,395.45","7,395.45",74.45,"5,505.55",-,-,0.00,0.00,-,3.26,-,-,-,-,-,-,3.48,3.10,"12,467.00",89.05,12/03/2021,-,-,-
Stocks / Options,OSI SYSTEMS INC,No,OSIS,671044105,92.660,12/06/2021,70.000,"6,486.20",4.11,256.20,"6,919.00","6,919.00",-6.26,-432.80,-,-,0.00,0.00,-,1.64,-,-,-,-,-,-,4.11,3.66,"6,230.00",89.00,12/03/2021,-,-,-
Stocks / Options,OUTFRONT MEDIA INC,No,OUT,69007J106,25.830,12/06/2021,640.000,"16,531.20",5.17,812.80,"9,290.04","9,290.04",77.95,"7,241.16",-,-,0.40,1.62,-,4.18,-,-,256.00,-,-,-,5.17,1.27,"15,718.40",24.56,12/03/2021,-,-,12/02/2021
Stocks / Options,PERKIN ELMER INC,No,PKI,714046109,182.070,12/06/2021,70.000,"12,744.90",-0.60,-77.00,"6,070.60","6,070.60",109.94,"6,674.30",-,-,0.28,0.15,-,3.22,-,-,20.00,-,-,-,-0.60,-1.10,"12,821.90",183.17,12/03/2021,-,-,01/20/2022
Stocks / Options,QUALYS INC COM,No,QLYS,74758T303,127.180,12/06/2021,85.000,"10,810.30",-0.36,-39.10,"7,681.96","7,681.96",40.72,"3,128.34",-,-,0.00,0.00,-,2.73,-,-,-,-,-,-,-0.36,-0.46,"10,849.40",127.64,12/03/2021,-,-,-
Stocks / Options,RELIANCE STEEL & ALUM CO,No,RS,759509102,154.395,12/06/2021,70.000,"10,807.65",1.98,210.35,"6,427.41","6,427.41",68.15,"4,380.24",-,-,2.75,1.81,-,2.73,-,-,193.00,-,-,-,1.98,3.01,"10,597.30",151.39,12/03/2021,-,-,11/18/2021
Stocks / Options,SEMPRA,No,SRE,816851109,125.920,12/06/2021,40.000,"5,036.80",1.75,86.80,"3,866.10","3,866.10",30.28,"1,170.70",-,-,4.40,3.55,-,1.27,-,-,176.00,-,-,-,1.75,2.17,"4,950.00",123.75,12/03/2021,-,-,12/22/2021
Stocks / Options,SERVICE CORP INTL,No,SCI,817565104,68.510,12/06/2021,130.000,"8,906.30",0.75,66.30,"6,990.10","6,990.10",27.41,"1,916.20",-,-,0.92,1.35,-,2.25,-,-,120.00,-,-,-,0.75,0.51,"8,840.00",68.00,12/03/2021,-,-,12/14/2021
Stocks / Options,SHERWIN WILLIAMS COMPANY,No,SHW,824348106,341.720,12/06/2021,50.000,"17,086.00",-0.20,-34.00,"4,920.40","4,920.40",247.25,"12,165.60",-,-,2.20,0.64,-,4.32,-,-,110.00,-,-,-,-0.20,-0.68,"17,120.00",342.40,12/03/2021,-,-,11/18/2021
Stocks / Options,SOUTHWEST GAS HOLDINGS INC,No,SWX,844895102,69.970,12/06/2021,135.000,"9,445.95",4.90,441.45,"9,218.87","9,218.87",2.46,227.08,-,-,2.38,3.56,-,2.39,-,-,321.00,-,-,-,4.90,3.27,"9,004.50",66.70,12/03/2021,-,-,02/14/2022
Stocks / Options,STANLEY BLACK & DECKER INC,No,SWK,854502101,185.020,12/06/2021,47.000,"8,695.94",1.63,139.12,"4,318.91","4,318.91",101.35,"4,377.03",-,-,3.16,1.73,-,2.20,-,-,149.00,-,-,-,1.63,2.96,"8,556.82",182.06,12/03/2021,-,-,11/30/2021
Stocks / Options,SUMMIT MATLS INC CL A,No,SUM,86614U100,39.180,12/06/2021,400.000,"15,672.00",4.70,704.00,"7,664.26","7,664.26",104.48,"8,007.74",-,-,0.00,0.00,-,3.96,-,-,-,-,-,-,4.70,1.76,"14,968.00",37.42,12/03/2021,-,-,-
Stocks / Options,TEEKAY LNG PARTNERS L.P.,No,TGP,Y8564M105,16.915,12/06/2021,174.000,"2,943.21",0.09,2.61,"2,757.44","2,757.44",6.74,185.77,-,-,1.15,6.80,-,0.74,-,-,200.00,-,-,-,0.09,0.02,"2,940.60",16.90,12/03/2021,-,-,11/04/2021
Stocks / Options,TJX COS INC NEW,No,TJX,872540109,72.930,12/06/2021,202.000,"14,731.86",3.17,452.48,"5,002.07","5,002.07",194.52,"9,729.79",-,-,1.04,1.47,-,3.72,-,-,210.00,-,-,-,3.17,2.24,"14,279.38",70.69,12/03/2021,-,-,11/09/2021
Stocks / Options,VERINT SYSTEMS INC,No,VRNT,92343X100,47.800,12/06/2021,140.000,"6,692.00",-0.33,-22.40,"6,671.20","6,671.20",0.31,20.80,-,-,0.00,0.00,-,1.69,-,-,-,-,-,-,-0.33,-0.16,"6,714.40",47.96,12/03/2021,-,-,02/02/2021
Stocks / Options,VISTRA CORP,No,VST,92840M102,20.883,12/06/2021,200.000,"4,176.68",0.84,34.68,"3,843.76","3,843.76",8.66,332.92,-,-,0.60,2.89,-,1.05,-,-,120.00,-,-,-,0.84,0.17,"4,142.00",20.71,12/03/2021,-,-,12/15/2021
"Cash, MMF and BDP",BANK DEPOSIT PROGRAM ,No,BDPS,061871901,-,-,"27,638.920","27,638.92",-,-,-,-,-,-,0.04,-,-,-,-,6.98,-,-,2.76,-,-,-,-,-,"27,638.92",-,-,-,-,-
"Cash, MMF and BDP",Cash,No,,-,-,-,-,"-20,708.38",-,-,-,-,-,-,-,-,-,-,-,-5.23,-,-,-,-,-,-,-,-,"-20,708.38",-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total:,,,,,,-,"395,898.24",1.63,"6,361.13","230,912.81","230,912.81",68.45,"158,054.89",0.04,,,,,100.00,,-,"6,072.76",,-,-,,,"389,537.11",,,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Please note, accrued interest is based on prior day valuation and is not a real time calculation. Accrued interest may be overstated on the Payable Date of a security, since the interest paid will also be reflected as a Change ($) in ""Cash"" for that day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Account contains securities for which cost basis and/or other values are not available (indicated by a ""N/A"" displaying in the cost and/or gain (loss) fields). Totals shown do not incorporate gains (or losses) for these securities. In addition, total cost or adjusted cost may also be unavailable and excluded from totals. Please contact your Financial Advisor for additional information. The accuracy of the purchase date, cost basis and other information you provide is not independently verified. 

Prices of securities not actively traded may not be available, and are indicated by a dash ""-"" or ""N/A"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Pricing information, please go to the Help + Support section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Options are not appropriate for every investor. Investors should not enter into options transactions until they have read and understood the Characteristics and Risks of Standardized Options Disclosure Document (ODD) http://www.optionsclearing.com/components/docs/riskstoc.pdf"". Please contact your Financial Advisor if you have questions pertaining to your investment strategy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An investment in an exchange-traded fund involves risks similar to those of investing in a broadly based portfolio of equity securities traded on exchange in the relevant securities market, such as market fluctuations caused by such factors as economic and political developments, changes in interest rates and perceived trends in stock prices. The investment return and principal value of ETF investments will fluctuate, so that an investor's ETF shares, if or when sold, may be worth more or less than the original cost. Investors should carefully consider the investment objectives and risks as well as charges and expenses of an exchange traded fund before investing. To obtain a prospectus, contact your Financial Advisor or visit the fund company's website. The prospectus contains this and other information about the fund. Read the prospectus carefully before investing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Special Considerations Regarding Structured Investments 
Structured Investments are complex products and may be subject to special risks, which may include, but are not limited to: loss of initial investment; issuer credit risk and price volatility resulting from any actual or anticipated changes to issuer's and/or guarantor's credit ratings or credit spreads; limited or no appreciation and limits on participation in any appreciation of underlying asset(s); risks associated with the underlying reference asset(s); no periodic payments; call prior to maturity; early redemption fees for market linked deposits; lower interest rates and/or yield compared to conventional debt with comparable maturity; unique tax implications; limited or no secondary market; and conflicts of interest due to affiliation, compensation or other factors which could adversely affect market value or payout to investors. Investors also should consider the concentration risk of owning the related security and their total exposure to any underlying asset. Structured Investments may not perform in a manner consistent with the statement product category where they appear and therefore may not satisfy portfolio asset allocation needs for that category. Accrued interest, estimated annual income and estimated yield for Structured Investments with a contingent income feature, including Range Accrual Notes and Contingent Income Notes, assume optimal performance of the underlying asset(s) and payment in full of all contingent interest. However, contingent interest is only paid if the specified accrual conditions are met during the relevant observation period. Actual accrued interest, annual income and yield will be dependent upon the performance of the underlying asset(s) and may be significantly lower than the estimates shown. For more information about the risks specific to your Structured Investments, you should contact your Financial Advisor. For important information on the risks and conflicts of interest related to structured products generally, click here or contact your Financial Advisor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Savings and Time Deposits 
Transfers into the Savings Program initiated after 4pm E.T. or on a non-business day will not be available to you until the next business day. Transfers into the Savings Program will not begin to earn interest until the funds are deposited into the Savings Program on the next business day. 

For Savings & Time deposits, APY (%) is last valued as of previous day. 

For Savings & Time deposits, Accrued interest calculated since last payment date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Important Information About Auction Rate Securities 
For certain Auction Rate Securities there is no or limited liquidity. Therefore, the price(s) for these Auction Rate Securities are indicated as not being available by a dash ""-"" or ""N/A"". There can be no assurance that a successful auction will occur or that a secondary market exists or will develop for a particular security.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FDIC insurance 
Detailed information on federal deposit insurance coverage can be found on the FDIC's website at: www.fdic.gov. For more information about the Bank Deposit Program, including Deposit Limits, please contact your Financial Advisor or review the Bank Deposit Disclosure Statement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any real-time market data is for informational purposes only. The Real-Time Quotes data feed provided by NASDAQ Basic is displayed only on the non-trading pages and only for US exchange-listed equities. Delayed NASDAQ market data is delayed for at least 15 minutes; all other market data is delayed for at least 20 minutes. This data should be used for informational purposes only. Please be advised that on weekdays, excepting holidays, current day NASDAQ market data is available after 9:45 AM ET, data from all other exchanges is available after 9:50 AM ET. The accuracy of any market data displayed is not guaranteed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You should not use the Unrealized Gain/Loss information to evaluate the actual performance of the securities in your account. Your gain/loss information may or may not be inclusive of distributions of capital gains and/or dividends depending on the type of holding. Only trade confirmations and statements represent the official records of your account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The CashPlus Account is a brokerage account offered through Morgan Stanley Smith Barney LLC. Conditions and restrictions apply. Please refer to the CashPlus Account Disclosure Statement for further details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Additional Information
The information contained on this website is designed solely for your individual use and is for informational purposes only. Your official statements and confirmations contain the most accurate and up-to-date information on your account holdings. Values shown on your official statement may differ from the values shown on this webpage due to different reporting methods, delays, market conditions and interruptions. If there are discrepancies between your official statements and this website, rely on your official account statements. Website information is subject to change and we are not obligated to notify you of these changes. Information may be condensed and is not intended as an offer or recommendation of any account type, security or investment strategy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morgan Stanley Smith Barney LLC is a registered Broker/Dealer, Member SIPC, and not a bank. Where appropriate, Morgan Stanley Smith Barney LLC has entered into arrangements with banks and other third parties to assist in offering certain banking related products and services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Investment, insurance and annuity products offered through Morgan Stanley Smith Barney LLC are: NOT FDIC INSURED | MAY LOSE VALUE | NOT BANK GUARANTEED | NOT A BANK DEPOSIT | NOT INSURED BY ANY FEDERAL GOVERNMENT AGENCY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
